Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Qty1,Qty2,Qty3,Part References
ERJ-12SF48R7U,Panasonic - ECG,DK,P48.7ACCT-ND,RES 48.7 OHM 3/4W 1% 2010 SMD,REF59,1,5,25,R6
ERJ-6ENF6192V,Panasonic - ECG,DK,P61.9KCCT-ND,RES 61.9K OHM 1/8W 1% 0805 SMD,REF61,1,5,25,R21
ERJ-6ENF9092V,Panasonic - ECG,DK,P90.9KCCT-ND,RES 90.9K OHM 1/8W 1% 0805 SMD,REF63,1,5,25,R24
ERJ-6ENF9312V,Panasonic - ECG,DK,P93.1KCCT-ND,RES 93.1K OHM 1/8W 1% 0805 SMD,REF64,1,5,25,R47
ERJ-6ENF1003V,Panasonic - ECG,DK,P100KCCT-ND,RES 100K OHM 1/8W 1% 0805 SMD,REF49,13,65,325,R13/R20/R34/R37/R41/R45/R49/R61/R68/R73/R74/R77/R78
C0805C101J5GACTU,Kemet,DK,399-1122-1-ND,CAP CERAMIC 100PF 50V NP0 0805,REF65,3,15,75,C29/C46/C49
EEE-1CA101P,Panasonic - ECG,DK,PCE3879CT-ND,CAP ELECT 100UF 16V VS SMD,REF81,1,5,25,C28
ERJ-6ENF1503V,Panasonic - ECG,DK,P150KCCT-ND,RES 150K OHM 1/8W 1% 0805 SMD,REF51,1,5,25,R35
182-009-113R531,Norcomp Inc.,DK,182-09ME-ND,"CONN DB9 MALE .318"" R/A NICKEL",REF35,1,5,25,X2
EVM-EGGA00B25,Panasonic - ECG,DK,EGG25BK-ND,POT 200K OHM 6MM CERAM SIDE ADJ,REF44,1,5,25,R52
ERJ-6ENF3013V,Panasonic - ECG,DK,P301KCCT-ND,RES 301K OHM 1/8W 1% 0805 SMD,REF53,1,5,25,R32
ERJ-6ENF3323V,Panasonic - ECG,DK,P332KCCT-ND,RES 332K OHM 1/8W 1% 0805 SMD,REF55,1,5,25,R29
ERJ-14NF4640U,Panasonic - ECG,DK,P464AACT-ND,RES 464 OHM 1/2W 1% 1210 SMD,REF57,1,5,25,R7
C0805C471J5GACTU,Kemet,DK,399-1133-1-ND,CAP CERAMIC 470PF 50V NP0 0805,REF77,2,10,50,C36/C37
EEE-1EA471P,Panasonic - ECG,DK,PCE3909CT-ND,CAP ELECT 470UF 25V VS SMD,REF82,2,10,50,C26/C27
C0805C561J5GACTU,Kemet,DK,399-1134-1-ND,CAP CERAMIC 560PF 50V NP0 0805,REF79,1,5,25,C48
C0805C152K5RACTU,Kemet,DK,399-1150-1-ND,CAP 1500PF 50V CERAMIC X7R 0805,REF71,4,20,100,C32/C33/C34/C42
C0805C472K5RACTU,Kemet,DK,399-1155-1-ND,CAP 4700PF 50V CERAMIC X7R 0805,REF78,1,5,25,C60
70553-0007,Molex Connector Corporation,DK,WM4906-ND,CONN HEADER 8POS .100 R/A GOLD,REF31,1,5,25,X3
640454-2,Tyco Electronics ,DK,A19423-ND,CONN HEADER VERT 2POS .100 TIN,REF88,1,5,25,X5
640454-8,Tyco Electronics ,DK,A19435-ND,CONN HEADER VERT 8POS .100 TIN,REF89,1,5,25,X4
AD1584BRTZ-REEL7,Analog Devices Inc,DK,AD1584BRTZ-REEL7CT-ND,IC V-REF 4.096V SOT-23,REF2,1,5,25,U12
BAV16W-7-F,Diodes Inc,DK,BAV16W-FDICT-ND,DIODE SWITCH 75V 400MW SOD123,REF10,1,5,25,D1
BR1225A/HB,Panasonic - BCG,DK,P061-ND,BATTERY LITH COIN HITEMP W/LEGS,REF42,0,0,0,B1(DNP)
BZT52C5V6-7-F,Diodes Inc,DK,BZT52C5V6-FDICT-ND,DIODE ZENER 5.6V 500MW SOD-123,REF12,2,10,50,D7/D10
2M1-SP1-T2-B4-M6RE,Carling Technologies,DK,432-1164-ND,SW TOGGLE SPDT .4VA RT ANG PCB,REF6,1,5,25,S1
CM1812R600R-10,Laird-Signal Integrity Products,DK,240-2454-1-ND,CHOKE COMMON MODE 60 OHMS SMD,REF28,1,5,25,L1
MT8870DS,Zarlink,FE,MT8870DS,DTMF Decoder IC,REF94,1,5,25,U6
